fiscal_year,report_year,group,Representation,WFA,col3,col4,Representation 2023,WFA 2023 (Census 2016),Representation 2024,WFA 2024 (Census 2021),Representation 2025,WFA 2025,WFA 2024
FY2022-23,2023,Women,56.6% [+0.6],53.7% Met,,,,,,,,,
FY2022-23,2023,Indigenous Peoples,5.3% [+0.1],3.8% Met,,,,,,,,,
FY2022-23,2023,Persons with disabilities,6.9% [+0.7],9.2% Not met,,,,,,,,,
FY2022-23,2023,Members of visible minorities,21.7% [+1.5],17.3% Met,,,,,,,,,
FY2022-23,2023,Year,Women,Indigenous Peoples,Persons with disabilities,Members of visible minorities,,,,,,,
FY2022-23,2023,2000,51.4%,3.3%,4.7%,5.5%,,,,,,,
FY2022-23,2023,2001,52.1%,3.6%,5.1%,6.1%,,,,,,,
FY2022-23,2023,2002,52.5%,3.8%,5.3%,6.8%,,,,,,,
FY2022-23,2023,2003,52.8%,3.9%,5.6%,7.4%,,,,,,,
FY2022-23,2023,2004,53.1%,4.1%,5.7%,7.8%,,,,,,,
FY2022-23,2023,2005,53.5%,4.2%,5.8%,8.1%,,,,,,,
FY2022-23,2023,2006,53.8%,4.2%,5.8%,8.6%,,,,,,,
FY2022-23,2023,2007,53.9%,4.2%,5.7%,8.8%,,,,,,,
FY2022-23,2023,2008,54.4%,4.4%,5.9%,9.2%,,,,,,,
FY2022-23,2023,2009,54.7%,4.5%,5.9%,9.8%,,,,,,,
FY2022-23,2023,2010,54.8%,4.6%,5.7%,10.7%,,,,,,,
FY2022-23,2023,2011,54.8%,4.7%,5.6%,11.3%,,,,,,,
FY2022-23,2023,2012,54.6%,4.9%,5.7%,12.1%,,,,,,,
FY2022-23,2023,2013,54.2%,5.0%,5.8%,12.6%,,,,,,,
FY2022-23,2023,2014,54.1%,5.1%,5.7%,13.2%,,,,,,,
FY2022-23,2023,2015,54.3%,5.1%,5.6%,13.8%,,,,,,,
FY2022-23,2023,2016,54.4%,5.2%,5.6%,14.5%,,,,,,,
FY2022-23,2023,2017,54.5%,5.2%,5.5%,15.1%,,,,,,,
FY2022-23,2023,2018,54.8%,5.1%,5.3%,15.7%,,,,,,,
FY2022-23,2023,2019,54.8%,5.1%,5.2%,16.7%,,,,,,,
FY2022-23,2023,2020,55.0%,5.1%,5.2%,17.8%,,,,,,,
FY2022-23,2023,2021,55.6%,5.2%,5.6%,18.9%,,,,,,,
FY2022-23,2023,2022,56.0%,5.2%,6.2%,20.2%,,,,,,,
FY2022-23,2023,2023,56.6%,5.3%,6.9%,21.7%,,,,,,,
FY2023-24,2024,Women,,,,,56.6%,53.7%,56.9%,55.3%,,,
FY2023-24,2024,Indigenous Peoples,,,,,5.3%,3.8%,5.3%,4.1%,,,
FY2023-24,2024,Persons with disabilities,,,,,6.9%,9.2%,7.9%,12.0%,,,
FY2023-24,2024,Members of visible minorities,,,,,21.7%,17.3%,22.9%,22.7%,,,
FY2024-25,2025,Women,,,,,,,56.9%,,56.8%,54.9%,55.3%
FY2024-25,2025,Indigenous Peoples,,,,,,,5.3%,,5.5%,4.0%,4.1%
FY2024-25,2025,Persons with disabilities,,,,,,,7.9%,,9.0%,12.0%,12.0%
FY2024-25,2025,Members of visible minorities,,,,,,,22.9%,,23.9%,22.7%,22.7%
FY2024-25,2025,Women,,,,,,,55.1%,,55.9%,41.8%,42.2%
FY2024-25,2025,Indigenous Peoples,,,,,,,5.5%,,5.6%,3.9%,3.9%
FY2024-25,2025,Persons with disabilities,,,,,,,9.7%,,10.9%,5.3%,5.3%
FY2024-25,2025,Members of visible minorities,,,,,,,16.4%,,17.3%,15.6%,15.8%
