fiscal_year,report_year,group,ex01_pct,ex02_pct,ex03_pct,ex04_pct,ex05_pct,total_exec_pct
FY2022-23,2023,Total,"7,643","4,139",54.2,100.0,397,5.2
FY2023-24,2024,Women,57.9%,52.7%,51.3%,56.6%,47.1%,55.1%
FY2023-24,2024,Indigenous Peoples,6.1%,4.8%,5.0%,5.6%,4.4%,5.5%
FY2023-24,2024,Persons with disabilities,10.1%,10.0%,8.5%,8.0%,9.6%,9.7%
FY2023-24,2024,Members of visible minorities,17.6%,15.8%,14.0%,17.8%,11.0%,16.4%
FY2023-24,2024,Black employees,3.4%,2.7%,2.3%,*,*,3.0%
FY2023-24,2024,"* Information for small numbers has been suppressed. Additionally, to avoid residual disclosure, other data points may also be suppressed.",,,,,,
FY2024-25,2025,Women,58.8%,52.6%,53.1%,56.6%,51.4%,55.9%
FY2024-25,2025,Indigenous Peoples,6.1%,5.1%,5.2%,5.2%,5.6%,5.6%
FY2024-25,2025,Persons with disabilities,11.3%,10.5%,10.3%,8.0%,14.8%,10.9%
FY2024-25,2025,Members of visible minorities,18.1%,17.3%,15.1%,16.8%,16.2%,17.3%
FY2024-25,2025,Black employees,3.3%,3.2%,2.9%,*,*,3.2%
FY2024-25,2025,"* Information for small numbers has been suppressed. Additionally, to avoid residual disclosure, other data points may also be suppressed.",,,,,,
