fiscal_year,report_year,designated_group,subgroup,Number,Percent of persons with disabilities population,Overall – number,Overall – percentage,Executives – number,Executives - percentage,Overall: number,Overall: percentage,Executives: number,Executives: percentage
FY2022-23,2023,Persons with disabilities,Coordination and dexterity,"1,257",7.2%,,,,,,,,
FY2022-23,2023,Persons with disabilities,Mobility,"2,588",14.9%,,,,,,,,
FY2022-23,2023,Persons with disabilities,Speech impairment,349,2.0%,,,,,,,,
FY2022-23,2023,Persons with disabilities,Blind or visual impairment,"1,160",6.7%,,,,,,,,
FY2022-23,2023,Persons with disabilities,Deaf or hard of hearing,"2,098",12.1%,,,,,,,,
FY2022-23,2023,Persons with disabilities,Other disability,"12,370",71.1%,,,,,,,,
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,,,"1,388",0.5%,55,0.7%,,,,
FY2023-24,2024,Persons with disabilities,Mobility,,,"2,912",1.1%,80,1.0%,,,,
FY2023-24,2024,Persons with disabilities,Speech impairment,,,412,0.2%,20,0.3%,,,,
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,,,"1,341",0.5%,79,1.0%,,,,
FY2023-24,2024,Persons with disabilities,Deaf or hard of hearing,,,"2,303",0.9%,114,1.5%,,,,
FY2023-24,2024,Persons with disabilities,Other disability,,,"15,642",5.9%,491,6.3%,,,,
FY2023-24,2024,Persons with disabilities,Total,,,"21,089",7.9%,751,9.7%,,,,
FY2023-24,2024,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,,,,,,,,,,
FY2024-25,2025,Persons with disabilities,Coordination and dexterity,,,,,,,"1,480",0.6%,52,0.7%
FY2024-25,2025,Persons with disabilities,Mobility,,,,,,,"3,114",1.2%,102,1.3%
FY2024-25,2025,Persons with disabilities,Speech impairment,,,,,,,433,0.2%,20,0.3%
FY2024-25,2025,Persons with disabilities,Blind or visual impairment,,,,,,,"1,455",0.5%,80,1.0%
FY2024-25,2025,Persons with disabilities,Deaf or hard of hearing,,,,,,,"2,474",0.9%,126,1.6%
FY2024-25,2025,Persons with disabilities,Other disability,,,,,,,"18,548",6.9%,590,7.4%
FY2024-25,2025,Persons with disabilities,Total,,,,,,,"24,128",9.0%,862,10.9%
FY2024-25,2025,Persons with disabilities,Note: The sum of disability subgroups does not match the disability total as one person can have multiple disabilities.,,,,,,,,,,
