fiscal_year,report_year,designated_group,subgroup,Number,Percent of Indigenous Peoples population,Overall - number,Overall - percentage,Executives - number,Executives - percentage,Overall: number,Overall: percentage,Executives: number,Executives: percentage
FY2022-23,2023,Indigenous peoples,Inuit,404,3.0%,,,,,,,,
FY2022-23,2023,Indigenous peoples,Métis,"5,735",42.9%,,,,,,,,
FY2022-23,2023,Indigenous peoples,First Nations,"5,566",41.7%,,,,,,,,
FY2022-23,2023,Indigenous peoples,Other,"1,658",12.4%,,,,,,,,
FY2023-24,2024,Indigenous peoples,Inuit,,,441,0.2%,8,0.1%,,,,
FY2023-24,2024,Indigenous peoples,Métis,,,"6,083",2.3%,177,2.3%,,,,
FY2023-24,2024,Indigenous peoples,First Nations,,,"5,947",2.2%,197,2.5%,,,,
FY2023-24,2024,Indigenous peoples,Other,,,"1,681",0.6%,46,0.6%,,,,
FY2023-24,2024,Indigenous peoples,Total,,,"14,152",5.3%,428,5.5%,,,,
FY2023-24,2024,Indigenous peoples,Note: The Self-ID form provided to departments by TBS did not ask about Indigenous subgroups until 2002. Some departments still do not collect this data and submit only a yes/no count for Indigenous identity as they have no obligation to do more than this under the Employment Equity Act. These responses are coded “Indigenous – Other”.,,,,,,,,,,
FY2024-25,2025,Indigenous peoples,Black,,,,,,,"13,741",5.1%,255,3.2%
FY2024-25,2025,Indigenous peoples,Non-White Latin American,,,,,,,"3,115",1.2%,42,0.5%
FY2024-25,2025,Indigenous peoples,Person of mixed origin,,,,,,,"4,363",1.6%,181,2.3%
FY2024-25,2025,Indigenous peoples,Chinese,,,,,,,"8,464",3.2%,149,1.9%
FY2024-25,2025,Indigenous peoples,Japanese,,,,,,,299,0.1%,10,0.1%
FY2024-25,2025,Indigenous peoples,Korean,,,,,,,873,0.3%,16,0.2%
FY2024-25,2025,Indigenous peoples,Filipino,,,,,,,"2,421",0.9%,20,0.3%
FY2024-25,2025,Indigenous peoples,South Asian / East Indian,,,,,,,"11,811",4.4%,252,3.2%
FY2024-25,2025,Indigenous peoples,"Non-White West Asian, North African or Arab",,,,,,,"7,706",2.9%,221,2.8%
FY2024-25,2025,Indigenous peoples,Southeast Asian,,,,,,,"3,892",1.5%,77,1.0%
FY2024-25,2025,Indigenous peoples,Other visible minority groups,,,,,,,"7,080",2.7%,148,1.9%
FY2024-25,2025,Indigenous peoples,Total,,,,,,,"63,765",23.9%,"1,371",17.3%
